Style	Schedule	ColorId	ProductionStartDate	OrderQty	FabHigherStatus	FabLowerStatus	FabStockPrecentage	STRIMHigherStatus	STRIMLowerStatus	STRIMStockPrecentage	PTRIMHigherStatus	PTRIMLowerStatus	PTRIMStockPrecentage
B30009S8	499844	H120AB         	7/23/2018	5502	7	7	0	13	11	100	11	11	100
B30049S8	499850	H120AB         	7/23/2018	2901	7	7	0	11	10	100	11	2	100
B20045M8	505329	H120AB         	7/25/2018	3042	7	7	0	11	10	96	11	5	100
B20005M8	505334	H120AB         	7/19/2018	6039	7	7	0	11	4	97	11	5	100
CN1952A8	505672	909RICK        	7/19/2018	4281	11	2	41	11	2	99	12	11	100
CN1952A8	505672	90BLACK        	7/20/2018	4281	11	5	57	11	2	99	12	11	100
CN1951A8	505689	10010WHITE     	7/24/2018	2550	11	11	100	14	11	100	14	11	100
CN1951A8	505692	908CRED        	7/21/2018	1000	11	2	57	13	2	67	13	11	100
CN1951A8	505692	908HAAL        	7/21/2018	1000	11	2	13	13	2	67	13	11	100
CN1951A8	505692	908HHER        	7/21/2018	1000	5	5	0	13	2	65	14	11	100
CN1951A8	505707	903PACK        	7/19/2018	1624	5	5	0	11	2	72	12	11	100
CN1951A8	505707	903PWLUE       	7/20/2018	1624	11	11	100	11	2	74	12	11	100
CN1951A8	505707	903YSKY        	7/20/2018	1624	11	5	64	11	2	74	12	11	100
CN1951A8	505729	918SCARI       	7/19/2018	1085	11	11	100	14	7	88	13	11	100
CN1951A8	505729	91USCARI       	7/19/2018	1085	5	5	0	13	7	88	13	11	100
CN1951A8	505765	0010BLACK      	7/19/2018	3255	5	5	0	11	2	57	13	1	99
CN1951A8	505781	490HAVY        	7/23/2018	1204	5	5	0	11	2	48	12	11	100
CN1951A8	505781	490HLUE        	7/23/2018	1204	5	2	0	11	2	48	12	11	100
CN1951A8	505781	490NAVY        	7/23/2018	1204	11	11	100	11	2	47	12	11	100
CN1951A8	505782	902ACK         	7/24/2018	1204	5	5	0	11	2	47	12	5	100
CN1951A8	505782	902IDOE        	7/24/2018	1204	2	2	0	11	2	48	12	5	99
CN1951A8	505782	902ILLUE       	7/24/2018	1204	11	5	51	11	2	48	12	5	99
CN1951A8	505865	933CKPERL      	7/23/2018	721	11	11	100	14	2	43	13	11	100
CN1951A8	505865	933CUKMARK     	7/23/2018	721	11	11	100	13	2	51	13	11	100
CN1951A8	505865	9CKAPFDBLE     	7/23/2018	721	11	11	100	11	2	51	13	11	100
CN1952A8	505912	904AVY         	7/21/2018	4085	11	11	100	11	2	100	13	11	100
CN1952A8	505912	904HEER        	7/24/2018	4085	11	5	94	13	2	100	13	11	100
CN1952A8	505912	904WAVY        	7/25/2018	4085	11	2	34	11	2	100	13	11	100
CN1952A8	505946	910CREY        	7/24/2018	4085	11	11	100	11	2	100	13	11	100
CN1952A8	505946	91LACK         	7/23/2018	4085	5	5	0	11	2	98	13	11	100
CN4183A8	506016	922AQR         	7/24/2018	1200	2	2	0	11	2	63	12	11	100
CN4183A8	506016	922AQR1        	7/24/2018	1200	11	11	100	11	2	56	12	11	100
CN4183A8	506016	922AQR2        	7/24/2018	1200	11	11	100	11	2	39	12	11	100
