date,style,schedule,color,m3_size,doc_no,qty,log_user,status,m3_mo_no,m3_op_code,job_no,mod_no,shift,m3_op_des
2018-07-15,"JJP327F8       ",532868,"08-DARKGREY-ROSECLAIRBOTTOM   ",XL,417,462,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,2,16,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532868,"08-DARKGREY-ROSECLAIRTOP      ",XL,422,462,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,2,16,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",S,46,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,8,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",S,47,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,8,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",S,48,24,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,8,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",S,108,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,8,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",S,109,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,8,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",S,110,24,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,8,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",L,32,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,5,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",L,33,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,5,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",L,96,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,5,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",L,97,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,5,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527964,"01-OFFWHITE-TARTANBOTTOM      ",S,256,186,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,31,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527964,"01-OFFWHITE-TARTANBOTTOM      ",M,255,234,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,31,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527964,"01-OFFWHITE-TARTANBOTTOM      ",L,253,132,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,31,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527964,"01-OFFWHITE-TARTANBOTTOM      ",XL,251,90,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,31,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527964,"01-OFFWHITE-TARTANTOP         ",S,340,186,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,31,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527964,"01-OFFWHITE-TARTANTOP         ",M,339,234,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,31,G,"Sewing out - 130"
