Section,Team,Schedule,Color,Style,SMV,Planned Date,Qty
2,1,502926,21 LIGHT ORANGE-TOP,JJP398H8,25.09,3/20/2018,237
2,1,502926,21 LIGHT ORANGE-TOP,JJP398H8,25.09,3/21/2018,163
2,1,511958,69 NAVY-TOP,JJP398H8,25.09,3/27/2018,123
2,1,511958,69 NAVY-TOP,JJP398H8,25.09,3/28/2018,395
2,1,511958,69 NAVY-TOP,JJP398H8,25.09,3/29/2018,32
2,1,502917,21 LIGHT ORANGE-TOP,JOS398H8,25.09,3/15/2018,218
2,1,502917,21 LIGHT ORANGE-TOP,JOS398H8,25.09,3/16/2018,67
2,1,511935,21 LIGHT ORANGE-TOP,JJP398H8,25.09,3/19/2018,122
2,1,511935,21 LIGHT ORANGE-TOP,JJP398H8,25.09,3/20/2018,101
2,1,511938,21 LIGHT ORANGE-TOP,JJP398H8,25.09,3/16/2018,223
2,1,511938,21 LIGHT ORANGE-TOP,JJP398H8,25.09,3/17/2018,307
2,1,511938,21 LIGHT ORANGE-TOP,JJP398H8,25.09,3/19/2018,201
