Module,Team Count,Value Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,2,PP_PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,SAH_HRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,PEF_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,PP_PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,SAH_HRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,PEF_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,PP_PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,SAH_HRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,PEF_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELP: Module should be in Number format and no row gaps are allowed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HELP: Team count should be numeric, based on the value system will automaticall split the plan pcs and sah values  and duplicates the efficiency values with the sequnce (0=>A,1=>B,2=>C).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"HELP: Please mention the PP_PCS as Plan pcs, SAH_HRS as SAH, PEF_PER as plan percentage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HELP: Date sequence starts from 1 to 31.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
