Project,SFCS,,,,,,,,,,
Reference Documents,,,,,,,,,,,
Author,"Dinesh,Priya",,,,,,,,,,
Reviewer,,,,,,,,,,,
Module,Lay Plan Preparation,,,,,,,,,,
Test Case Count,116,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Test Case ID,Test Scenario,Test Description,Test Steps,Test Data,Expected Output,Actual Output,QA Status,GIT Id,Result (Pass/Fail),Clarifications,QA Remarks/Comments
,,,,,,,,,,,
LPP_001,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of lay plan preparation,1.Open Browser and enter url,http://localhost/sfcsui,Lay Plan - Search Form should display,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
LPP_002,Verifying the functionality of lay plan preparation in Cutting,Check the fields in Lay Plan-Search Form,1.Open Browser and enter url,http://localhost/sfcsui,These fields should display 1.Select style 2.Select Schedule 3.Select color  4.MO status 5.Submit Button 6.Enter Docket Referenece 7.Enter CID 8.Search Button,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
LPP_003,Verifying the functionality of lay plan preparation in Cutting,Check the default values of drop downs in Lay Plan-Search Form,1.Open Browser and enter url,http://localhost/sfcsui,"By default ""please select "" should be display in all dropdowns",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
LPP_004,Verifying the functionality of lay plan preparation in Cutting,Check the default value of MO status in Lay Plan-Search Form,1.Open Browser and enter url,http://localhost/sfcsui,By default it should show No Status in Lay Plan-Search Form,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
LPP_005,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of submit button without selecting values from drop down,1.Open Browser and enter url,http://localhost/sfcsui,"Popup message should display as ""Please select the drop down values""",,Fail,20,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Click on submit button,,,,,,,,
LPP_006,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of select style drop down in Lay Plan-Search Form,1.Open Browser and enter url,http://localhost/sfcsui,"when we click on select style dropdown,styles should display from M3 ",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Click on Select Style drop down,,,,,,,,
LPP_007,Verifying the functionality of lay plan preparation in Cutting,Check the functionality  of dropdowns in Lay Plan-Search Form,1.Open Browser and enter url,http://localhost/sfcsui,"Popup message should display as ""please select,select style dropdown"".",,Fail,25,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Click on Select Schedule drop down,,,,,,,,
LPP_008,Verifying the functionality of lay plan preparation in Cutting,Check the functionality  of dropdowns in Lay Plan-Search Form,1.Open Browser and enter url,http://localhost/sfcsui,"Popup message should display as ""please select,select style and select schedule dropdowns"".",,Fail,26,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Click on Select Color drop down,,,,,,,,
LPP_009,Verifying the functionality of lay plan preparation in Cutting,Check the functionality  of dropdowns in Lay Plan-Search Form,1.Open Browser and enter url,http://localhost/sfcsui,"Popup message should display as ""please select,select schedule dropdown"".",,Fail,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
