Module,Team Count,Value Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2,2,PP_PCS,0,83,166,249,333,0,374,416,416,458,457,475,0,69,135,202,268,334,398,0,417,426,426,426,388,426,0,426,374,426,122
2,2,SAH_HRS,0,22,43,65,87,0,98,109,109,120,120,124,0,16,31,46,62,77,92,0,96,98,98,98,89,98,0,98,86,98,30
2,2,PEF_PER,0,10,20,30,40,0,45,50,50,55,55,30,0,7,14,21,28,35,42,0,44,45,45,45,50,45,0,45,45,45,27
2.1,2,PP_PCS,0,111,221,332,443,0,499,554,554,610,609,87,0,131,198,265,332,395,382,0,322,84,156,229,301,361,0,361,336,361,361
2.1,2,SAH_HRS,0,22,43,65,87,0,98,109,109,120,120,19,0,30,45,60,76,90,87,0,73,18,33,48,63,76,0,76,71,76,76
2.1,2,PEF_PER,0,10,20,30,40,0,45,50,50,55,55,33,0,14,21,28,35,41,40,0,21,8,15,22,29,35,0,35,35,35,35
6,2,PP_PCS,0,177,266,355,399,0,443,444,444,444,444,159,0,75,92,110,128,152,172,0,190,208,225,249,263,272,0,280,289,298,307
6,2,SAH_HRS,0,43,65,87,98,0,109,109,109,109,109,39,0,18,23,27,31,37,42,0,47,51,55,61,65,67,0,69,71,73,76
6,2,PEF_PER,0,20,30,40,45,0,50,50,50,50,50,28,0,8,10,12,14,17,19,0,21,23,25,28,30,31,0,32,33,34,35
6.1,2,PP_PCS,0,177,266,355,399,0,443,444,444,444,444,205,0,73,90,108,126,149,170,0,188,205,204,244,261,270,0,279,287,296,305
6.1,2,SAH_HRS,0,43,65,87,98,0,109,109,109,109,109,50,0,18,22,27,31,37,42,0,46,51,50,60,64,66,0,69,71,73,75
6.1,2,PEF_PER,0,20,30,40,45,0,50,50,50,50,50,28,0,8,10,12,14,17,19,0,21,23,25,28,30,31,0,32,33,34,35
8,2,PP_PCS,0,756,755,755,756,0,756,755,348,206,284,363,0,442,520,223,163,233,302,0,372,441,510,580,650,719,0,765,712,662,134
8,2,SAH_HRS,0,131,130,130,131,0,130,130,58,28,39,50,0,61,72,31,26,36,47,0,58,69,80,91,102,113,0,120,112,104,26
8,2,PEF_PER,0,60,60,60,60,0,60,60,33,13,18,23,0,28,33,19,12,17,22,0,27,32,37,42,47,52,0,55,57,31,12
8.1,2,PP_PCS,0,756,756,755,756,0,756,756,373,202,281,359,0,438,517,460,111,193,263,0,332,401,471,540,433,587,0,722,695,105,219
8.1,2,SAH_HRS,0,131,130,130,131,0,131,131,63,28,39,50,0,61,71,98,19,30,41,0,52,63,74,85,68,92,0,113,109,21,43
8.1,2,PEF_PER,0,60,60,60,60,0,60,60,33,13,18,23,0,28,33,43,26,14,19,0,24,29,34,39,44,47,0,52,55,10,20
1,2,PP_PCS,0,449,533,533,533,0,533,533,533,533,533,533,0,533,533,533,533,533,533,0,502,480,463,439,544,586,0,586,526,547,548
1,2,SAH_HRS,0,98,109,109,109,0,109,109,109,109,109,109,0,109,109,109,109,109,109,0,109,109,109,109,116,120,0,120,111,120,120
1,2,PEF_PER,0,45,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,52,55,0,55,55,55,55
1.1,2,PP_PCS,0,520,533,533,533,0,533,533,533,533,533,533,0,533,533,533,533,532,498,0,498,498,498,498,582,586,0,586,516,547,548
1.1,2,SAH_HRS,0,109,109,109,109,0,109,109,109,109,109,109,0,109,109,109,109,109,109,0,109,109,109,109,119,120,0,120,111,120,120
1.1,2,PEF_PER,0,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,52,55,0,55,55,55,55
3,2,PP_PCS,0,533,533,533,533,0,533,533,498,498,498,498,0,498,498,498,498,498,498,0,498,498,498,498,399,448,0,448,443,513,547
3,2,SAH_HRS,0,109,109,109,109,0,109,109,109,109,109,109,0,109,109,109,109,109,109,0,109,109,109,109,87,98,0,98,97,112,120
3,2,PEF_PER,0,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,48,45,0,45,45,55,55
3.1,2,PP_PCS,0,532,533,533,533,0,533,505,498,498,498,498,0,498,498,498,498,498,498,0,498,498,498,479,448,448,0,428,482,541,547
3.1,2,SAH_HRS,0,109,109,109,109,0,109,109,109,109,109,109,0,109,109,109,109,109,109,0,109,109,109,105,98,98,0,94,105,118,120
3.1,2,PEF_PER,0,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,48,45,45,0,45,55,55,55
4,2,PP_PCS,0,502,597,852,892,0,902,902,903,902,902,902,0,902,903,903,902,852,54,0,80,50,60,100,145,197,0,250,259,302,316
4,2,SAH_HRS,0,79,94,134,140,0,141,141,141,141,141,141,0,141,142,141,141,133,11,0,17,10,12,21,30,41,0,52,54,62,65
4,2,PEF_PER,0,33,44,58,64,0,65,65,65,65,65,65,0,65,65,65,65,33,5,0,8,5,7,9,14,19,0,24,25,29,30
4.1,2,PP_PCS,0,282,352,518,599,0,668,739,764,807,851,878,0,897,904,902,395,36,,0,,79,107,159,212,263,0,213,279,295,241
4.1,2,SAH_HRS,0,44,55,81,94,0,105,116,120,126,133,138,0,141,142,141,63,8,,0,,16,22,33,44,54,0,44,62,65,52
4.1,2,PEF_PER,0,20,25,34,43,0,48,53,55,58,61,63,0,65,65,65,34,7,,0,,8,10,15,20,25,0,25,29,30,23
5,2,PP_PCS,0,2250,2250,2248,1030,0,336,505,674,843,1011,1180,0,1348,1517,1686,1854,1855,2023,0,2091,2158,2192,2192,2192,2192,0,2192,2192,2192,2192
5,2,SAH_HRS,0,141,141,141,65,0,22,33,43,54,65,76,0,87,98,109,120,120,130,0,135,139,141,141,141,141,0,141,141,141,141
5,2,PEF_PER,0,65,65,65,65,0,10,15,20,25,30,35,0,40,45,50,55,55,60,0,62,64,65,65,65,65,0,65,65,65,65
5.1,2,PP_PCS,0,2253,2253,2247,1437,0,288,493,661,830,999,1167,0,1336,1504,1673,1842,1855,2010,0,2085,2153,2189,2192,2192,2192,0,1672,2192,2192,2192
5.1,2,SAH_HRS,0,142,142,141,90,0,19,32,43,54,64,75,0,86,97,108,119,120,130,0,135,139,141,141,141,141,0,108,141,141,141
5.1,2,PEF_PER,0,65,65,65,65,0,9,15,20,25,30,35,0,40,45,50,55,55,60,0,62,64,65,65,65,65,0,65,65,65,65
7,2,PP_PCS,0,2250,2249,2250,2250,0,2250,914,224,474,643,812,0,980,1149,1317,1486,1655,1823,0,1855,1992,2078,2146,1582,2192,0,2192,2192,2192,2192
7,2,SAH_HRS,0,141,141,141,141,0,141,57,14,31,41,52,0,63,74,85,96,107,118,0,120,128,134,138,102,141,0,141,141,141,141
7,2,PEF_PER,0,65,65,65,65,0,65,65,8,14,19,24,0,29,34,39,44,49,54,0,55,59,62,64,65,65,0,65,65,65,65
7.1,2,PP_PCS,0,2250,2184,2242,2250,0,2250,2119,288,493,661,830,0,999,1167,1336,1504,1673,1842,0,1855,2010,2085,2152,2189,2192,0,2192,2192,2192,2192
7.1,2,SAH_HRS,0,141,137,141,141,0,141,133,19,32,43,54,0,64,75,86,97,108,119,0,120,130,135,139,141,141,0,141,141,141,141
7.1,2,PEF_PER,0,65,65,65,65,0,65,65,9,15,20,25,0,30,35,40,45,50,55,0,55,60,62,64,65,65,0,65,65,65,65
11,2,PP_PCS,0,579,772,964,1158,0,1351,1543,1739,1930,2123,2121,0,2315,2397,2471,2508,2506,2510,0,2507,2510,2507,2703,2234,2703,0,2703,2702,1122,
11,2,SAH_HRS,0,33,43,54,65,0,76,87,98,109,120,119,0,130,135,139,141,141,141,0,141,141,141,152,126,152,0,152,152,63,
11,2,PEF_PER,0,15,20,25,30,0,35,40,45,50,55,55,0,60,62,64,65,65,65,0,65,65,65,70,70,70,0,70,70,70,
11.1,2,PP_PCS,0,579,772,964,1158,0,1351,1542,1737,1927,2123,2123,0,2317,2390,2468,2509,2507,2512,0,2510,2510,2513,2703,2399,2703,0,2703,2703,1704,
11.1,2,SAH_HRS,0,33,43,54,65,0,76,87,98,109,120,120,0,131,135,139,141,141,142,0,141,141,142,152,135,152,0,152,152,96,
11.1,2,PEF_PER,0,15,20,25,30,0,35,40,45,50,55,55,0,60,62,64,65,65,65,0,65,65,65,70,70,70,0,70,70,70,
12,2,PP_PCS,0,824,979,1129,1284,0,1437,1590,1685,1685,1687,1685,0,1685,1683,1685,1685,1685,1687,0,1685,1567,1685,1684,1035,940,0,1163,1335,1527,1814
12,2,SAH_HRS,0,59,70,80,91,0,102,113,120,120,120,120,0,120,119,120,120,120,120,0,120,111,120,120,70,46,0,57,65,75,89
12,2,PEF_PER,0,27,32,37,42,0,47,52,55,55,55,55,0,55,55,55,55,55,55,0,55,55,55,55,42,21,0,26,31,36,41
12.1,2,PP_PCS,0,1398,1601,1801,2001,0,2201,2203,2202,2200,2202,2201,0,2202,1851,425,515,606,705,0,832,954,1368,2024,2944,2940,0,2945,2941,2937,955
12.1,2,SAH_HRS,0,76,87,98,109,0,120,120,120,120,120,120,0,120,100,20,25,29,34,0,40,46,66,97,141,141,0,141,141,141,47
12.1,2,PEF_PER,0,35,40,45,50,0,55,55,55,55,55,55,0,55,31,9,11,13,16,0,18,25,30,48,65,65,0,65,65,65,42
13,2,PP_PCS,0,4075,4078,4078,4078,0,4074,4078,4078,4078,4078,4078,0,4073,4078,4078,4078,4078,4077,0,4078,3535,3925,4078,4078,4078,0,439,119,163,206
13,2,SAH_HRS,0,141,141,141,141,0,141,141,141,141,141,141,0,141,141,141,141,141,141,0,141,123,136,141,141,141,0,16,12,16,21
13,2,PEF_PER,0,65,65,65,65,0,65,65,65,65,65,65,0,65,65,65,65,65,65,0,65,65,65,65,65,65,0,33,6,8,10
13.1,2,PP_PCS,0,4078,3711,4075,4078,0,4076,4078,4078,4078,4078,4074,0,4078,3114,1219,1412,1605,1798,0,1991,2124,2184,2341,2270,2037,0,2510,2326,33,123
13.1,2,SAH_HRS,0,141,129,141,141,0,141,141,141,141,141,141,0,141,115,69,80,90,101,0,112,120,123,132,128,115,0,141,131,4,13
13.1,2,PEF_PER,0,65,65,65,65,0,65,65,65,65,65,65,0,65,46,32,37,42,47,0,52,55,57,61,63,64,0,65,65,3,6
15,2,PP_PCS,0,,177,591,816,0,1042,1264,1492,1715,764,453,0,622,791,959,1128,1296,1465,0,1634,1804,1855,1971,2070,2137,0,2181,2192,2192,2192
15,2,SAH_HRS,0,,9,29,39,0,50,61,72,83,40,29,0,40,51,62,73,84,94,0,105,116,120,127,133,138,0,141,141,141,141
15,2,PEF_PER,0,,6,13,18,0,23,28,33,38,34,13,0,18,23,28,33,38,43,0,48,53,55,58,61,63,0,65,65,65,65
15.1,2,PP_PCS,0,,,209,396,0,897,1122,1351,1575,1801,369,0,501,670,839,1007,1176,1344,0,1513,1682,1851,1855,2019,2089,0,2156,2191,2192,2192
15.1,2,SAH_HRS,0,,,10,19,0,43,54,65,76,86,23,0,32,43,54,65,76,87,0,98,108,119,120,130,135,0,139,141,141,141
15.1,2,PEF_PER,0,,,5,11,0,20,25,30,35,40,27,0,15,20,25,30,35,40,0,45,50,55,55,60,62,0,64,65,65,65
16,2,PP_PCS,0,91,,84,421,0,590,758,927,1096,1264,1433,0,1601,1770,1855,1939,2057,2124,0,2175,2192,2192,2192,1565,2192,0,2192,2192,2192,2192
16,2,SAH_HRS,0,6,,5,27,0,38,49,60,71,82,92,0,103,114,120,125,133,137,0,140,141,141,141,101,141,0,141,141,141,141
16,2,PEF_PER,0,65,,5,12,0,17,22,27,32,37,42,0,47,52,55,57,61,63,0,64,65,65,65,65,65,0,65,65,65,65
16.1,2,PP_PCS,0,644,,336,505,0,674,843,1011,1180,1348,1517,0,1686,1854,1855,2023,2091,2158,0,2192,2192,2192,2175,2192,2192,0,2192,2192,2192,2192
16.1,2,SAH_HRS,0,40,,22,33,0,43,54,65,76,87,98,0,109,120,120,130,135,139,0,141,141,141,140,141,141,0,141,141,141,141
16.1,2,PEF_PER,0,65,,10,15,0,20,25,30,35,40,45,0,50,55,55,60,62,64,0,65,65,65,65,65,65,0,65,65,65,65
14,2,PP_PCS,0,1771,1859,1940,2063,0,2129,1867,1794,2198,2193,2199,0,2198,2194,2198,2196,2198,2196,0,2197,2198,2196,2198,2198,2198,0,2128,2198,2196,2196
14,2,SAH_HRS,0,114,120,125,133,0,137,120,115,141,141,141,0,141,141,141,141,141,141,0,141,141,141,141,141,141,0,137,141,141,141
14,2,PEF_PER,0,52,55,57,61,0,63,65,65,65,65,65,0,65,65,65,65,65,65,0,65,65,65,65,65,65,0,65,65,65,65
14.1,2,PP_PCS,0,1835,2246,2430,2467,0,2667,2752,2842,2871,2875,2875,0,2878,2417,1843,2059,2186,2174,0,2473,2668,2753,2831,2876,2875,0,2857,2875,2874,2875
14.1,2,SAH_HRS,0,90,110,119,121,0,131,135,140,141,141,141,0,142,119,91,102,108,107,0,122,132,136,140,142,141,0,140,141,141,141
14.1,2,PEF_PER,0,40,51,55,56,0,60,62,64,65,65,65,0,65,56,42,47,52,55,0,56,60,62,64,65,65,0,65,65,65,65
