Module,Team Count,Value Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,2,PP_PCS,320,481,722,882,1042,0,0,0,1043,1043,1043,1043,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,PEF_PER,20,30,45,55,65,0,0,0,65,65,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,SAH_HRS,43,65,98,120,141,0,0,0,141,141,141,141,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,PP_PCS,320,641,962,892,1044,0,0,0,1043,1043,1043,1042,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,PEF_PER,20,40,60,60,65,0,0,0,65,65,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,SAH_HRS,43,87,130,121,141,0,0,0,141,141,141,141,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,PP_PCS,533,533,533,533,533,0,0,0,533,533,533,533,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,PEF_PER,60,60,60,60,60,0,0,0,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,SAH_HRS,130,130,130,130,130,0,0,0,130,130,131,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,PP_PCS,533,533,533,533,533,0,0,0,533,532,533,533,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,PEF_PER,60,60,60,60,60,0,0,0,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,SAH_HRS,130,130,130,130,130,0,0,0,130,130,130,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,PP_PCS,452,706,960,1213,1467,0,0,0,1579,1652,1724,1825,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,PEF_PER,12,19,26,33,40,0,0,0,44,46,48,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,SAH_HRS,27,42,58,73,88,0,0,0,95,99,103,110,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,PP_PCS,607,860,1114,1368,1551,0,0,0,1623,1697,1783,1877,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,PEF_PER,17,24,31,38,43,0,0,0,45,47,49,52,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,SAH_HRS,36,52,67,82,93,0,0,0,97,102,107,113,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,PP_PCS,3539,2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,PEF_PER,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,SAH_HRS,139,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,PP_PCS,3539,3542,2762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,PEF_PER,64,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,SAH_HRS,139,139,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,PP_PCS,644,910,1176,1441,1626,0,0,0,1700,1778,1870,1967,2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,PEF_PER,17,24,31,38,43,0,0,0,45,47,49,52,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,SAH_HRS,37,52,67,83,93,0,0,0,97,102,107,113,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,PP_PCS,663,929,1194,1460,1629,0,0,0,1707,1783,1877,1972,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,PEF_PER,17,24,31,38,43,0,0,0,45,47,49,52,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,SAH_HRS,38,53,68,84,93,0,0,0,98,102,108,113,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,PP_PCS,3871,3865,3871,3871,1971,0,0,0,400,666,931,1197,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,PEF_PER,70,70,70,70,37,0,0,0,11,18,25,32,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,SAH_HRS,152,152,152,152,79,0,0,0,23,38,53,69,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,PP_PCS,3871,3871,3871,3872,2068,0,0,0,393,659,924,1190,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,PEF_PER,70,70,70,70,37,0,0,0,10,17,24,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,SAH_HRS,152,152,152,152,82,0,0,0,23,38,53,68,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,PP_PCS,155,563,901,1240,1579,0,0,0,1910,2094,2190,2287,2416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,PEF_PER,7,12,19,26,33,0,0,0,40,43,45,47,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,SAH_HRS,7,25,41,56,71,0,0,0,86,94,99,103,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,PP_PCS,201,592,930,1268,1605,0,0,0,1947,2102,2199,2296,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,PEF_PER,24,12,19,26,33,0,0,0,40,43,45,47,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,SAH_HRS,9,27,42,57,72,0,0,0,88,95,99,103,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,PP_PCS,574,839,1105,1332,1604,0,0,0,1679,1755,1835,1945,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,PEF_PER,15,22,29,36,42,0,0,0,44,46,48,51,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,SAH_HRS,33,48,63,76,92,0,0,0,96,101,105,112,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,PP_PCS,428,693,959,1226,1490,0,0,0,1640,1716,1792,1891,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,PEF_PER,11,18,25,32,39,0,0,0,43,45,47,50,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,SAH_HRS,25,40,55,70,85,0,0,0,94,98,103,108,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,PP_PCS,2256,2254,2256,2256,1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,PEF_PER,70,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,SAH_HRS,152,152,152,152,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,PP_PCS,2256,2256,2256,2256,2256,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,PEF_PER,70,70,70,70,70,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,SAH_HRS,152,152,152,152,152,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,PP_PCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,PEF_PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,SAH_HRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
