Module,Team Count,Value Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,2,PP_PCS,0,0,0,2190,4553,4552,0,4551,4551,4551,4247,4549,4551,0,0,0,0,4551,4551,4556,0,4551,4551,4551,4551,0,4551,0,4555,4551,4551
1,2,PEF_PER,0,0,0,75,75,75,0,75,75,75,75,75,75,0,0,0,0,75,75,75,0,75,75,75,75,0,75,0,75,75,75
1,2,SAH_HRS,0,0,0,97,203,203,0,203,203,203,189,202,203,0,0,0,0,203,203,203,0,203,203,203,203,0,203,0,203,203,203
3,2,PP_PCS,0,0,0,2018,4551,4524,0,4247,4247,4247,4174,4551,4551,0,0,0,0,4551,4551,4556,0,4546,4551,4551,4551,0,4551,0,4551,4551,4551
3,2,PEF_PER,0,0,0,75,75,72,0,70,70,70,72,75,75,0,0,0,0,75,75,75,0,75,75,75,75,0,75,0,75,75,75
3,2,SAH_HRS,0,0,0,90,203,201,0,189,189,189,186,203,203,0,0,0,0,203,203,203,0,202,203,203,203,0,203,0,203,203,203
5,2,PP_PCS,0,0,0,1849,4554,4551,0,4551,4551,4551,4243,4551,4551,0,0,0,0,4551,4551,4546,0,4551,4551,4551,4551,0,4551,0,4551,4556,4551
5,2,PEF_PER,0,0,0,75,75,75,0,75,75,75,75,75,75,0,0,0,0,75,75,75,0,75,75,75,75,0,75,0,75,75,75
5,2,SAH_HRS,0,0,0,82,203,203,0,203,203,203,189,203,203,0,0,0,0,203,203,202,0,203,203,203,203,0,203,0,203,203,203
10,2,PP_PCS,0,0,0,1447,4247,2134,0,2152,2959,3287,3122,3403,3414,0,0,0,0,3249,3249,3249,0,3249,244,0,0,0,2325,0,3249,3247,3249
10,2,PEF_PER,0,0,0,59,70,49,0,46,64,71,72,73,72,0,0,0,0,70,70,70,0,70,70,0,0,0,70,0,70,70,70
10,2,SAH_HRS,0,0,0,64,189,107,0,125,172,191,182,198,199,0,0,0,0,189,189,189,0,189,14,0,0,0,135,0,189,189,189
11,2,PP_PCS,0,0,0,1420,4247,4247,0,4247,4247,4247,3959,4245,4247,0,0,0,0,4247,4247,4247,0,4243,4250,4247,4494,0,4554,0,4550,4551,4551
11,2,PEF_PER,0,0,0,70,70,70,0,70,70,70,70,70,70,0,0,0,0,70,70,70,0,70,70,70,72,0,75,0,75,75,75
11,2,SAH_HRS,0,0,0,63,189,189,0,189,189,189,176,189,189,0,0,0,0,189,189,189,0,189,189,189,200,0,203,0,202,203,203
13,2,PP_PCS,1194,0,0,0,3239,3249,0,3249,3248,3249,3033,3249,3313,0,0,0,0,3481,3481,3481,0,3481,215,0,0,0,1240,0,3481,3481,3481
